age_bracket,fraction_male,fraction_female
0_4,0.515740057704815,0.484259942295185
5_9,0.513671334892505,0.48632866510749495
10_14,0.504168491204836,0.495831508795164
15_19,0.5069622001480614,0.49303779985193863
20_24,0.5219591857349998,0.4780408142650002
25_29,0.5222957463932225,0.4777042536067775
30_34,0.5106707963850821,0.4893292036149179
35_39,0.514965380463063,0.48503461953693705
40_44,0.50147003634882,0.49852996365118
45_49,0.5058343648738282,0.49416563512617184
50_54,0.5017277970969511,0.49827220290304886
55_59,0.4946939193688848,0.5053060806311153
60_64,0.48032842752305616,0.5196715724769438
65_69,0.4798870301757645,0.5201129698242355
70_74,0.4702434124150822,0.5297565875849177
75_79,0.45953209370004305,0.5404679062999569
80_84,0.44281524926686217,0.5571847507331378
85_100,0.36651933529081027,0.6334806647091897
